timestamp,datetime,symbol,price,market_cap,total_volume,price_change,price_change_percent,volume_change,volume_change_percent
1753660800000,2025-07-28 08:00:00,BNB,843.4496,117523608100.63,2256704380.68,0,0,0,0
1753747200000,2025-07-29 08:00:00,BNB,822.2766,114557221095.58,3011452631.68,-21.173,-2.51,754748251.0,33.44
1753833600000,2025-07-30 08:00:00,BNB,805.1438,112111480479.16,2130673065.5,-17.1328,-2.08,-880779566.18,-29.25
1753920000000,2025-07-31 08:00:00,BNB,793.8735,110456100095.04,1929266771.62,-11.2704,-1.4,-201406293.88,-9.45
1754006400000,2025-08-01 08:00:00,BNB,783.0024,109113907270.47,1662327372.6,-10.8711,-1.37,-266939399.02,-13.84
1754092800000,2025-08-02 08:00:00,BNB,756.4574,105351071036.11,2187208851.56,-26.545,-3.39,524881478.97,31.58
1754179200000,2025-08-03 08:00:00,BNB,736.6588,102623944857.2,937931586.04,-19.7986,-2.62,-1249277265.52,-57.12
1754265600000,2025-08-04 08:00:00,BNB,751.4002,104656102854.35,843114690.73,14.7414,2.0,-94816895.32,-10.11
1754352000000,2025-08-05 08:00:00,BNB,768.5544,107042144700.86,1043307913.11,17.1543,2.28,200193222.38,23.74
1754438400000,2025-08-06 08:00:00,BNB,754.7878,105138094773.99,1003756388.56,-13.7666,-1.79,-39551524.54,-3.79
1754524800000,2025-08-07 08:00:00,BNB,769.8556,107234057462.77,990264468.55,15.0678,2.0,-13491920.01,-1.34
1754611200000,2025-08-08 08:00:00,BNB,787.1948,109527291627.3,1091813946.37,17.3393,2.25,101549477.82,10.25
1754697600000,2025-08-09 08:00:00,BNB,793.1777,110484679476.2,1187794735.39,5.9829,0.76,95980789.02,8.79
1754784000000,2025-08-10 08:00:00,BNB,799.1991,111320129039.58,1105210829.29,6.0214,0.76,-82583906.1,-6.95
1754870400000,2025-08-11 08:00:00,BNB,804.8956,112048240703.83,1056685905.21,5.6965,0.71,-48524924.08,-4.39
1754956800000,2025-08-12 08:00:00,BNB,806.8312,112362421491.65,1821705477.55,1.9356,0.24,765019572.33,72.4
1755043200000,2025-08-13 08:00:00,BNB,834.4466,116319266615.14,1904274487.34,27.6154,3.42,82569009.79,4.53
1755129600000,2025-08-14 08:00:00,BNB,849.5529,118308158987.36,2344964710.75,15.1062,1.81,440690223.42,23.14
1755216000000,2025-08-15 08:00:00,BNB,842.2643,117299381415.71,3658447977.42,-7.2885,-0.86,1313483266.67,56.01
1755302400000,2025-08-16 08:00:00,BNB,827.2917,115243392455.32,3425180338.79,-14.9726,-1.78,-233267638.63,-6.38
1755388800000,2025-08-17 08:00:00,BNB,839.0567,116636178954.74,1194989933.08,11.765,1.42,-2230190405.71,-65.11
1755475200000,2025-08-18 08:00:00,BNB,856.9425,119370446719.07,1237130937.22,17.8858,2.13,42141004.14,3.53
1755561600000,2025-08-19 08:00:00,BNB,848.2299,118191079529.68,1704077250.47,-8.7126,-1.02,466946313.25,37.74
1755648000000,2025-08-20 08:00:00,BNB,823.4567,114695398769.24,1577237801.84,-24.7732,-2.92,-126839448.63,-7.44
1755734400000,2025-08-21 08:00:00,BNB,870.0389,121327396964.83,2208912960.73,46.5822,5.66,631675158.89,40.05
1755820800000,2025-08-22 08:00:00,BNB,838.3672,116703457347.89,1808794551.83,-31.6717,-3.64,-400118408.9,-18.11
1755907200000,2025-08-23 08:00:00,BNB,899.0448,125228722775.31,2403982643.65,60.6776,7.24,595188091.83,32.91
1755993600000,2025-08-24 08:00:00,BNB,880.2145,122601551471.54,1414960204.06,-18.8302,-2.09,-989022439.6,-41.14
1756080000000,2025-08-25 08:00:00,BNB,876.0729,122045654251.53,1862920203.96,-4.1416,-0.47,447959999.91,31.66
1756166400000,2025-08-26 08:00:00,BNB,840.2868,117052413550.03,1739476008.26,-35.7861,-4.08,-123444195.7,-6.63
1756252800000,2025-08-27 08:00:00,BNB,864.1213,120359854645.81,1565511904.05,23.8345,2.84,-173964104.21,-10.0
1756339200000,2025-08-28 08:00:00,BNB,856.0552,119223186511.82,1274918054.43,-8.0661,-0.93,-290593849.62,-18.56
1756425600000,2025-08-29 08:00:00,BNB,874.7488,121754972275.1,1665085112.06,18.6935,2.18,390167057.63,30.6
1756512000000,2025-08-30 08:00:00,BNB,863.6575,120215499930.77,1531055975.69,-11.0912,-1.27,-134029136.37,-8.05
1756598400000,2025-08-31 08:00:00,BNB,861.9235,119967599893.59,732100562.51,-1.7341,-0.2,-798955413.18,-52.18
1756684800000,2025-09-01 08:00:00,BNB,857.8196,119395441256.79,721993472.29,-4.1039,-0.48,-10107090.22,-1.38
1756771200000,2025-09-02 08:00:00,BNB,845.9165,117730905063.68,1648305723.81,-11.9031,-1.39,926312251.52,128.3
1756857600000,2025-09-03 08:00:00,BNB,851.6937,118533105628.61,1322521810.39,5.7773,0.68,-325783913.42,-19.76
1756944000000,2025-09-04 08:00:00,BNB,855.111,119019289721.41,859226298.82,3.4173,0.4,-463295511.57,-35.03
1757030400000,2025-09-05 08:00:00,BNB,843.6736,117468538515.54,916745033.76,-11.4374,-1.34,57518734.94,6.69
1757116800000,2025-09-06 08:00:00,BNB,849.7185,118277372904.96,987362929.24,6.0449,0.72,70617895.48,7.7
1757203200000,2025-09-07 08:00:00,BNB,861.6639,120001345335.91,841058634.16,11.9454,1.41,-146304295.07,-14.82
1757289600000,2025-09-08 08:00:00,BNB,881.3845,122834289041.02,923155920.72,19.7206,2.29,82097286.56,9.76
1757376000000,2025-09-09 08:00:00,BNB,878.2339,122234712958.68,1204256444.21,-3.1506,-0.36,281100523.49,30.45
1757462400000,2025-09-10 08:00:00,BNB,879.8338,122413962295.56,1062899360.68,1.5999,0.18,-141357083.54,-11.74
1757548800000,2025-09-11 08:00:00,BNB,893.5788,124408078560.36,1801977169.81,13.745,1.56,739077809.13,69.53
1757635200000,2025-09-12 08:00:00,BNB,902.8768,125610829851.88,1258971255.58,9.2981,1.04,-543005914.23,-30.13
1757721600000,2025-09-13 08:00:00,BNB,925.166,128802515865.21,1589605226.03,22.2892,2.47,330633970.46,26.26
1757808000000,2025-09-14 08:00:00,BNB,933.8972,129905114546.38,1640112370.86,8.7311,0.94,50507144.83,3.18
1757894400000,2025-09-15 08:00:00,BNB,926.8413,128929854315.28,1263377077.09,-7.0559,-0.76,-376735293.78,-22.97
1757980800000,2025-09-16 08:00:00,BNB,919.225,127942167402.55,1372293507.03,-7.6162,-0.82,108916429.94,8.62
1758067200000,2025-09-17 08:00:00,BNB,955.3487,132963284625.95,1924151991.34,36.1237,3.93,551858484.31,40.21
1758153600000,2025-09-18 08:00:00,BNB,991.3973,137968272147.62,2455896970.15,36.0486,3.77,531744978.81,27.64
1758240000000,2025-09-19 08:00:00,BNB,982.0766,136761037889.77,2514178578.72,-9.3207,-0.94,58281608.57,2.37
1758326400000,2025-09-20 08:00:00,BNB,982.688,136677706976.04,2194041676.03,0.6114,0.06,-320136902.69,-12.73
1758412800000,2025-09-21 08:00:00,BNB,1042.4061,145119356424.55,2616933161.68,59.7181,6.08,422891485.65,19.27
1758499200000,2025-09-22 08:00:00,BNB,1048.565,145982985276.63,3053430923.12,6.1589,0.59,436497761.44,16.68
1758585600000,2025-09-23 08:00:00,BNB,992.3882,138105394316.33,3676969354.85,-56.1768,-5.36,623538431.73,20.42
1758672000000,2025-09-24 08:00:00,BNB,1017.4645,141632015383.78,2922340144.92,25.0763,2.53,-754629209.93,-20.52
1758758400000,2025-09-25 08:00:00,BNB,1018.0678,141670017336.2,2488968495.04,0.6033,0.06,-433371649.88,-14.83
1758844800000,2025-09-26 08:00:00,BNB,944.4004,131563762651.01,3413861577.38,-73.6674,-7.24,924893082.34,37.16
1758931200000,2025-09-27 08:00:00,BNB,960.6806,133586426744.23,2464135246.72,16.2802,1.72,-949726330.66,-27.82
1759017600000,2025-09-28 08:00:00,BNB,968.6807,134835789879.1,1580796543.52,8.0001,0.83,-883338703.21,-35.85
1759104000000,2025-09-29 08:00:00,BNB,993.2079,138219349626.74,1062584120.8,24.5272,2.53,-518212422.72,-32.78
1759190400000,2025-09-30 08:00:00,BNB,1030.031,143304041034.05,2136154304.75,36.8231,3.71,1073570183.95,101.03
1759276800000,2025-10-01 08:00:00,BNB,1008.9225,140376471979.11,1848197871.39,-21.1084,-2.05,-287956433.36,-13.48
1759363200000,2025-10-02 08:00:00,BNB,1025.8188,142809283859.25,1942259015.31,16.8963,1.67,94061143.92,5.09
1759449600000,2025-10-03 08:00:00,BNB,1090.3116,151723439463.9,2670147496.09,64.4928,6.29,727888480.78,37.48
1759536000000,2025-10-04 08:00:00,BNB,1190.0541,164926971828.8,4899140228.34,99.7425,9.15,2228992732.25,83.48
1759622400000,2025-10-05 08:00:00,BNB,1149.5364,160006780977.97,1730597418.83,-40.5177,-3.4,-3168542809.51,-64.68
1759708800000,2025-10-06 08:00:00,BNB,1165.4778,162064988745.73,2435796155.38,15.9414,1.39,705198736.54,40.75
1759795200000,2025-10-07 08:00:00,BNB,1224.5742,169960274835.36,4284366311.15,59.0964,5.07,1848570155.77,75.89
1759881600000,2025-10-08 08:00:00,BNB,1311.7129,182467251280.34,9739890116.46,87.1387,7.12,5455523805.32,127.34
1759968000000,2025-10-09 08:00:00,BNB,1306.4812,181269646560.23,5632418876.32,-5.2317,-0.4,-4107471240.15,-42.17
1760054400000,2025-10-10 08:00:00,BNB,1255.8787,174774998279.27,6718668117.93,-50.6026,-3.87,1086249241.61,19.29
1760140800000,2025-10-11 08:00:00,BNB,1110.8142,155757356924.04,8685141976.34,-145.0645,-11.55,1966473858.41,29.27
1760227200000,2025-10-12 08:00:00,BNB,1138.1247,158484360795.37,6948428633.06,27.3105,2.46,-1736713343.29,-20.0
1760313600000,2025-10-13 08:00:00,BNB,1298.7908,180775585852.16,9048144207.21,160.6661,14.12,2099715574.15,30.22
1760400000000,2025-10-14 08:00:00,BNB,1293.0722,180018433779.76,9460068400.64,-5.7186,-0.44,411924193.43,4.55
1760486400000,2025-10-15 08:00:00,BNB,1212.2834,168894485551.04,8825438559.5,-80.7889,-6.25,-634629841.14,-6.71
1760572800000,2025-10-16 08:00:00,BNB,1161.7348,161921597426.42,4682445531.81,-50.5485,-4.17,-4142993027.7,-46.94
1760659200000,2025-10-17 08:00:00,BNB,1143.7314,159172508587.92,4415901608.81,-18.0034,-1.55,-266543922.99,-5.69
1760745600000,2025-10-18 08:00:00,BNB,1071.5486,149337696969.79,5491967100.57,-72.1827,-6.31,1076065491.76,24.37
1760832000000,2025-10-19 08:00:00,BNB,1092.4569,152025648190.86,2404645661.29,20.9082,1.95,-3087321439.29,-56.22
1760918400000,2025-10-20 08:00:00,BNB,1109.7464,154383839123.48,2451498835.81,17.2895,1.58,46853174.52,1.95
1761004800000,2025-10-21 08:00:00,BNB,1100.5942,153232298626.45,3059042679.76,-9.1522,-0.82,607543843.95,24.78
1761091200000,2025-10-22 08:00:00,BNB,1057.8502,147151945156.75,3312841993.62,-42.744,-3.88,253799313.86,8.3
1761177600000,2025-10-23 08:00:00,BNB,1071.3354,149141843205.36,2524047906.41,13.4852,1.27,-788794087.21,-23.81
1761264000000,2025-10-24 08:00:00,BNB,1127.3581,156747943162.41,4658465652.12,56.0226,5.23,2134417745.71,84.56
1761350400000,2025-10-25 08:00:00,BNB,1109.1784,154356375659.02,2264878475.24,-18.1797,-1.61,-2393587176.87,-51.38
1761369712000,2025-10-25 13:21:52,BNB,1112.817,154871280300.77,2097476955.97,3.6386,0.33,-167401519.28,-7.39
1761372213000,2025-10-25 14:03:33,BNB,1117.5801,155330414661.72,1954934384.73,4.7631,0.43,-142542571.24,-6.8
1761374362000,2025-10-25 14:39:22,BNB,1116.6858,155625873434.61,2052685830.69,-0.8943,-0.08,97751445.97,5.0
1761375155000,2025-10-25 14:52:35,BNB,1115.411,155250819742.6,2025387710.12,-1.2748,-0.11,-27298120.57,-1.33
1761393765000,2025-10-25 20:02:45,BNB,1115.8676,155313416862.3,1755797318.42,0.4566,0.04,-269590391.7,-13.31
